STUDENTID,COURSENAMEENG,SUBGROUP,MAINGROUP
6312810,Intensive English,Major Elective Course,Major Elective Course
6312810,Thai Language Skills,Language Course,General Education Course 
6312810,Information Technology Workshop 1,Major Required Course,Specific Required Course
6312810,Human and Computer Interaction,Core Course,Specific Required Course
6312810,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6312810,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6312810,Object-Oriented Programming,Core Course,Specific Required Course
6312810,Mathematics for Information Technology 2,Core Course,Specific Required Course
6312810,Introduction to Economics,Social Science Course,General Education Course 
6312810,Organization and Management,Social Science Course,General Education Course 
6312810,Science for Life,Science and Mathematics Course,General Education Course 
6312810,Data Communications and Networks,Major Required Course,Specific Required Course
6312810,Information Technology Workshop 2,Major Required Course,Specific Required Course
6312810,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6312810,Probability and Statistics,Core Course,Specific Required Course
6312810,English 2,Language Course,General Education Course 
6312810,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6312810,Data Structures and Algorithms,Major Required Course,Specific Required Course
6312810,ASEAN Studies,Social Science Course,General Education Course 
6312810,Database Systems,Major Required Course,Specific Required Course
6312810,Industrial Management,Major Required Course,Specific Required Course
6312810,Seminar,Major Required Course,Specific Required Course
6312810,Management Information Systems,Major Required Course,Specific Required Course
6312810,Information Technology Project Management,Major Required Course,Specific Required Course
6312810,Business Modeling and Simulation,Major Required Course,Specific Required Course
6312810,English 3,Language Course,General Education Course 
6312810,Web Programming,Core Course,Specific Required Course
6312810,System Analysis and Design,Major Required Course,Specific Required Course
6312810,Exercise for Noncommunicable Diseases Prevention,Major Elective Course,Major Elective Course
6312810,Information Security,Core Course,Specific Required Course
6312810,Business Information System Design,Major Required Course,Specific Required Course
6312810,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6312810,Information Technology Service Management,Major Required Course,Specific Required Course
6312810,Senior Project 1,Major Required Course,Specific Required Course
6312810,Mobile Programming,Major Elective Course,Specific Required Course
6312810,Web Design and Development,Major Elective Course,Specific Required Course
6312810,Digital Marketing,Major Required Course,Specific Required Course
6312810,Spa Therapy,Major Elective Course,Major Elective Course
6312810,Senior Project 2,Major Required Course,Specific Required Course
6312810,Co-operative Education,Major Required Course,Specific Required Course
6312910,Thai Language Skills,Language Course,General Education Course 
6312910,Intensive English,Major Elective Course,Major Elective Course
6312910,Basic Information Technology,Science and Mathematics Course,General Education Course 
6312910,Computer Programming,Core Course,Specific Required Course
6312910,Mathematics for Information Technology 1,Core Course,Specific Required Course
6312910,Information Technology Workshop 1,Major Required Course,Specific Required Course
6312910,Human and Computer Interaction,Core Course,Specific Required Course
6312910,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6312910,Object-Oriented Programming,Core Course,Specific Required Course
6312910,Mathematics for Information Technology 2,Core Course,Specific Required Course
6312910,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6312910,English 2,Language Course,General Education Course 
6312910,Science for Life,Science and Mathematics Course,General Education Course 
6312910,Probability and Statistics,Core Course,Specific Required Course
6312910,Introduction to Economics,Social Science Course,General Education Course 
6312910,Data Communications and Networks,Major Required Course,Specific Required Course
6312910,Information Technology Workshop 2,Major Required Course,Specific Required Course
6312910,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6312910,ASEAN Studies,Social Science Course,General Education Course 
6312910,Organization and Management,Social Science Course,General Education Course 
6312910,English 2,Language Course,General Education Course 
